ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
palcdpnojkmdjpkdcldniiefhdokbojb,0,0,0,1,0,0,1,1,1,1,0,1
hcofnkkihemblooncobelgfemgpedinp,1,0,0,0,0,0,0,1,1,0,0,0
dgjppomomihdmmiefpaalenochdlhpdh,1,0,0,1,0,0,0,1,1,0,1,0
nmeinjkidjfnbgfjiomkdmlihnadacgo,1,0,0,1,0,0,1,1,1,1,1,0
mkocgejaabjghpnhoagkolcnfhgdkilo,1,0,0,1,1,0,1,1,1,0,1,0
ckinimcmjlcaclahdpbeklbgfjidaeml,0,0,0,0,0,0,0,1,1,0,0,0
ahepnebpdofkpmnnminmmjimoofbkbji,0,0,0,0,0,0,1,1,1,1,0,1
ljhkfklbohndemkbafegonhpanfajeae,0,0,1,1,0,0,1,1,1,0,0,0
mojhglbfmhgcocfelnnfgngefdpibfhl,1,0,0,1,1,0,1,1,1,0,0,0
oeadfeokeafokjbffnibccbbgbjcdefe,1,0,0,1,0,0,0,1,1,0,1,0
hjdoplcnndgiblooccencgcggcoihigg,1,0,0,1,0,0,1,1,1,0,1,0
pgenbnkcpmebbcoeeekefkmblmblppbj,1,0,0,1,0,0,1,1,1,0,1,0
dmgaboifbpokjbdcbnmkcohiondlampj,1,0,0,1,1,0,0,1,1,0,0,0
eamijgbomblhngjdljgbhjgdcoaakaom,1,0,0,1,0,0,0,1,1,0,1,0
cgnmjdccjgfkmpnooddjjcadgklkimkg,1,0,0,1,0,0,0,1,1,0,1,0
pooaemmkohlphkekccfajnbcokjlbehk,0,0,1,0,0,1,1,1,1,0,1,0
bgnbkbdgafaaghfbnmhejdajbeboloci,1,0,0,1,0,0,1,1,1,0,1,0
amfojhdiedpdnlijjbhjnhokbnohfdfb,1,0,0,1,0,0,1,1,1,0,1,0
bhiokmeldglbhimbpncofnnijoljjpfc,1,0,0,1,0,0,0,1,1,0,1,0
gfmkiampcljcdhgcalhgjhojfejlkhnn,1,0,1,1,1,0,1,1,1,1,1,0
imlfnnonlpkccnhikhlnleeghigenonh,1,0,1,1,0,1,1,1,1,1,0,0
kdffomfplcfeemdjjnifjeenlpbcgfcj,1,0,1,1,0,1,1,1,1,0,0,0
ldbhojoiaggmgkjcepnmcebablbgpbfk,1,0,1,1,0,0,1,1,1,1,1,0
ejgidflmdjpfnnbmgmegcjcjofdndfcm,1,0,0,1,1,0,1,1,1,0,0,0
debfefmfahocmpjephpmplljfmjjadml,1,0,1,1,0,1,1,1,1,0,0,0
lbmambbnglofgbcaphmokiadbfdicddj,1,0,0,1,0,0,0,1,1,0,1,0
kaplhmhahkanhjahbdbaamdaililfmkj,1,0,0,1,0,0,1,1,1,0,1,0
alhmbbnlcggfcjjfihglopfopcbigmil,1,0,0,1,1,0,1,1,1,0,0,0
gmojglhjbjbibakbghapikjkjdijpmbl,1,0,0,1,0,0,1,1,1,0,1,0
alhndfppifbidkmdkanmkpcdofkmaomm,1,0,0,1,0,0,1,1,1,0,1,0
lkdeaaanpdkakjbfbjmnofohljimjmlh,1,0,0,1,0,0,1,1,1,0,1,0
kcjchkpaiadaekobnkjjjbjehbjoboak,0,0,0,0,0,0,0,1,1,0,0,0
iibninhmiggehlcdolcilmhacighjamp,1,0,0,1,0,0,1,1,1,1,1,0
dbkeanahcbkdfofebhieglfdoihdboei,0,0,0,0,1,0,1,1,1,1,0,1
oknpjjbmpnndlpmnhmekjpocelpnlfdi,0,0,0,1,0,0,1,1,1,0,0,0
dheionainndbbpoacpnopgmnihkcmnkl,1,0,0,1,0,0,1,1,1,0,1,0
fhkimgpddcmnleeaicdjggpedegolbkb,1,0,0,1,1,0,1,1,1,0,0,0
mmhppocgfdombmapajfeafhecobfcjpk,1,0,0,1,0,0,1,1,1,0,1,0
oolkfddhhccdciigjigaghblnlkbgjki,1,0,0,1,1,0,1,1,1,0,0,0
hmfocflebeolgkehnimcchankdjljepb,1,0,0,0,0,0,0,1,1,0,0,0
lhcmoeflppeellobgaaphmhoailkpfdj,1,0,1,1,0,1,1,1,1,1,0,0
lokadhdaghfjbmailhhenifjejpokche,0,0,0,0,0,0,1,1,1,0,1,0
dhpojdmnffaocepmljcdcongdmkjblan,1,0,1,1,0,0,1,1,1,1,1,0
bkkbcggnhapdmkeljlodobbkopceiche,1,0,0,1,0,0,1,1,1,1,1,0
ipobloajcfdhbfpobiphpjolfmfcmokc,1,0,1,1,0,1,1,1,1,0,0,0
kpipjgdapccmpkgipfikeajoopjbcgam,0,0,0,0,0,0,0,1,1,0,0,0
coinegbkpholhpicoglgamehmcogoagj,0,0,0,0,0,0,1,1,1,0,1,0
offfjidagceabmodhpcngpemnnlojnhn,1,0,1,1,0,0,1,1,1,0,1,0
labbepjbeajenpikffombfflolbmigmc,1,0,0,1,0,0,0,1,1,0,1,0
ooppcohacjcoekjgiajkkjgepofncbdl,1,0,0,1,0,1,0,1,1,0,1,0
clgficggccelgifppbcaepjdkklfcefd,1,0,0,1,0,0,1,1,1,1,1,0
ndhodhgmjkljkgmigfhlhhcbebmbnbhl,1,0,0,1,1,0,0,1,1,1,0,0
cnffkgfknlbnbfhihojeagbmcdcfdcnb,1,0,0,1,0,0,1,1,1,0,1,0
ablpgchfbbfachdiakmieocbdgflgfjj,0,0,0,0,0,0,1,1,1,0,1,0
honjoefhlidgdidlcdbipobjnoliiaid,1,0,0,1,0,0,1,1,1,0,1,0
pcbckpfgadgjmlgehfjjbpmeaakchibc,1,0,0,1,0,0,1,1,1,0,1,0
hdhinadidafjejdhmfkjgnolgimiaplp,0,0,0,0,0,0,1,1,1,0,0,0
hilfdhlnmhmdhcfilfabcmabcpedgedd,1,0,0,1,0,0,1,1,1,0,1,0
hhljlkkodanjjefajfnmlihohigmfbbl,1,0,1,1,0,0,1,1,1,1,1,0
ffednpkacgekbgkcffkpoinbikhijadl,1,0,1,1,0,0,1,1,1,1,1,0
ohfbnjhbpjlkbkagpkdoocefjocageoa,1,0,1,1,0,1,1,1,1,0,0,0
mnlohknjofogcljbcknkakphddjpijak,1,0,0,1,0,0,1,1,1,0,1,0
glionobmpbnfolpidmfchmkfahfkameo,1,0,0,1,1,0,1,1,1,0,1,0
kffmedimlahkcfmanllccpodaimhhham,1,0,0,1,0,0,1,1,1,0,1,0
ggojihjaaaalhgaocfbgklcidfmlboko,1,0,0,1,0,0,0,1,1,0,1,0
flejfacjooompmliegamfbpjjdlhokhj,1,1,0,1,0,0,1,1,1,1,1,0
gehfhcppdhkghhcbgedldpphjhfdljdb,0,0,0,0,0,0,1,1,1,0,1,0
pffnmdadbkfkakjcelihcgkbinajpoel,1,0,0,1,1,0,1,1,1,0,1,0
dnmhjajomdcnclfdjhfalbnolpfidaom,1,0,0,1,0,0,1,1,1,1,1,0
ahphokgmcecbjeipkfkamcdmemghkaph,1,0,0,1,0,0,0,1,1,0,1,0
kilkocdmfgcheopoghbpaaocbmmdohil,1,1,0,1,0,0,0,1,1,0,1,0
laciddhhmjgkkmlbcgflngnimonaidfc,1,1,0,1,0,0,1,1,1,0,1,0
dllplfhjknghhdneiblmkolbjappecbe,1,0,0,1,1,0,0,1,1,1,0,0
nlacgphiebglipgnadgcegiefbfcpnjk,0,0,0,0,0,0,1,1,1,0,1,0
ponfpcnoihfmfllpaingbgckeeldkhle,1,0,0,1,0,0,1,1,1,0,1,0
