ext,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
alkfhfgkepamooonkjdolamnbilhkmjg,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,8
nhmccpjmdhejpfhafcfajkgifkmjhkgf,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,12
knijgomkfcdigmbogcnffcbfgmapmkca,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,11
cdciibllmibdlannjhadoapbdpgeemga,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,3
kpidndfnnoehcnegkaeiglmggchnipcn,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,6
ifneepiofkffljglcdgajfgmhhakibdi,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,5
jmhjngpdfdmgmngfmbbjkmnpmfcbbcii,Accessibility,0,0,0,1,0,0,0,0,1,1,0,0,12
nocmgagcgpkpofhnkhnidkggfaepieon,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,7
ielggdbamjmfoiennlibhkknhopncipl,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,11
piicimoiaiblachamdicgngccadhlecl,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,8
idhkdcpihjcjeeaeaegbfibgkkcgmfel,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,4
dchmahpmnpogmfofejmdndonfljkjhdm,Accessibility,0,0,0,0,0,0,0,0,1,0,0,0,9
kejikcfbgajpfjimicaklpdnmjlkledd,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,12
ageghplgcapnfpdhapeemolbmfccclke,Accessibility,0,0,0,1,0,0,0,1,1,1,0,0,4
ppinmodbpljedinjhhpabjcbgkfmkmak,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,10
pdlkjdlbjjfmlfhijdbdpkilpdoncgdk,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,8
opedjbjdlegcahkllmcnepjeihphjkfl,Accessibility,0,0,0,1,0,0,0,1,1,1,0,0,6
jaflockmdgfoehjilcemkmfaogfpcofp,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,7
gjaalifmgnmmmfamlndnlcfcjaiapida,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,6
lajondecmobodlejlcjllhojikagldgd,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,17
jcigapkmkejookkejhojeobnbngphomg,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,10
dcjcdeappfdpohbcomllngbckjpelckc,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,1
mnphabhdkpljeimcfpdpppbamedonofb,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,5
khiocfdofmabcpofejbffpbocoabcjib,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,8
nmndcjhenmoghainokenbpgakopbplpk,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,10
gfpphfadinalebmmjaamocgoakipkolj,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,8
fhkgfmkmehojjekhffhifemmjmblmbnb,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,6
mghmdfcoglhfidlkpilennieahmofdcc,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,8
ljekjikpaonjihlpllojbdacdenmnfpn,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,3
jbhdndokpilenhhbiejllkoehpgccmbb,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,5
ninjcegeembcbgfkdmicfoopgnhgnafa,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,9
