ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
anobmokgfdlmbafhgfejfcnddhdkofej,0,0,0,0,0,0,0,0,0,1,0,0
ankdmjnjnaioamnhckabehjdkckldpgm,0,0,0,0,0,0,0,4,7,1,0,0
anpfbejbbeijpkplcfdpacidiecdfeol,1,0,0,1,0,0,1,6,2,1,0,0
bhdjoenakdncbihdefmdokhkmandglkj,0,0,0,0,0,0,0,1,0,1,0,0
cjcdpijeahdcilcaicipegfepgcfojlj,0,0,0,0,0,0,0,0,0,0,0,0
aciieodoebcieadfecdgeeooelmflkal,1,0,0,1,0,0,0,14,3,1,0,0
cgefmcnibjiomgjkngndppnidjifgobl,0,0,0,0,0,0,0,12,2,0,0,0
cefbnclogebmfeoofnpjcdfjokeainbb,0,0,0,0,0,0,0,0,0,0,0,0
ccijmcaojoicndalnhngocagddcnpdln,1,0,0,1,0,0,0,51,2,1,0,0
bflmgpechpeohjfomgfdkkfcbhfcjohl,0,0,0,0,0,0,0,0,0,0,0,0
bijgpkifioecdiebmfdlecnbgiommlmf,0,0,0,0,0,0,0,4,2,1,0,0
cmpdgldbjfojgcanjaejdojoegmgddli,0,0,0,0,0,0,0,16,8,0,0,0
apbfjeaobkbomngihaolpklnpghkplgp,0,0,0,0,0,0,0,5,0,0,0,0
bfnnokhpnncpkdmbokanobigaccjkpob,0,0,0,0,0,0,0,0,0,0,0,0
cgcfeokbekdppgknhfofacdgdpohngpn,0,0,0,0,0,0,1,0,0,0,0,0
aefbnplemmloeljfgdafhkaghkihbnen,0,0,0,0,0,0,0,1,0,1,0,0
cpikgpboofnnnbeoekolnmllkhnhoocg,0,0,0,0,0,0,0,0,5,0,0,0
bccpegbeakkofioonldfbhgdcdjmkfnk,0,0,0,0,0,0,0,15,1,0,0,0
cjfeohjffkdehdblcolicjhhnbphcmna,0,0,0,0,0,0,0,96,26,0,1,0
afgimcjppakkoelgdpijgjmonnbcbgjc,0,0,0,0,0,0,0,0,0,1,0,0
aicgkflmidjkbcenllnnlbnfnmicpmgo,0,0,0,0,0,0,0,11,3,1,0,0
amoljnglfkpjdjhmeaocffefmhppmane,0,0,0,0,0,0,0,0,1,1,0,0
colbpcaaggncmlgclbfdllpmmkfjkdfl,0,0,0,0,0,0,0,2,3,0,0,0
aaiabnmbljlhlfoaojbppljejhibmamm,0,0,0,0,0,0,0,11,5,1,0,0
bidhblgejaeihkcafilickciafjimlcc,1,0,0,1,1,1,0,0,0,1,1,0
bmcgcdholjajmhpckgbfedjnaiehloji,1,0,0,0,0,0,0,0,1,1,0,0
aljbdflicanhipbfgioikcaboplcdbdj,0,0,0,0,0,0,0,3,0,1,0,0
cmfmnnedoaboodajabjcipajpgfmaddj,0,0,0,0,0,0,0,0,0,0,0,0
bglicehingnhimmkihplligdihgfapjf,0,0,0,0,0,0,0,5,5,0,0,0
chfphljkpnlgdmpnkgagdhcfjlonnioc,0,0,0,0,0,0,0,0,0,0,0,0
cmgaipmnoaopgkpbdadlfnjgilcapgob,0,0,0,0,0,0,0,0,1,0,0,0
bomleickifcdlcdonchhdcgkajlnmkmk,0,0,0,3,0,0,0,18,14,1,0,0
bflolmfdngaflefhmapdbbjmclioljck,0,0,0,0,0,0,0,12,26,0,0,0
bafncadmgpabpojoohpejlmdbligjjlb,0,0,0,0,0,0,0,1,2,0,0,0
ahhbpajbjiklalbiaicanmcpnjhjmpoh,0,0,0,0,0,0,0,0,8,1,0,0
alhmbbnlcggfcjjfihglopfopcbigmil,0,0,0,0,0,0,0,21,2,1,0,0
cobooiapfnofmfejopdicgngmiaafgph,0,0,0,0,0,0,0,0,1,0,0,0
chmmfcfbchdekppeobkhdnngbhnacjik,0,0,0,0,0,0,0,20,3,0,0,0
bjjcmeelnemdkjbkgoabjhojdaameide,0,0,0,0,0,0,0,1,2,1,0,0
cibmcipeeijpkbbggcdojccidjdembjb,0,0,0,0,0,0,0,3,0,0,0,0
afbbncjihiihiobfapfekfglgiamkngc,0,0,0,0,0,0,0,3,5,1,2,0
bblgelgkbofjlnjedielgedgiagcgejf,0,0,0,0,0,0,0,2,10,0,0,0
bjdlnejippohgiolcfkneoomhfpgekpk,0,0,0,0,0,0,0,2,0,1,0,0
aiknamaddpkmjcpooopfiioacdkceeke,0,0,0,0,0,0,0,0,0,0,0,0
behcdcknidfkilomklmbknhmeagddmjl,0,0,0,0,0,0,0,0,0,0,0,0
bfkidkogdmjfmlgeanihgkmifjkdpcfj,0,0,0,0,0,0,0,0,0,0,0,0
ccmcggibdigabiohoinpdbfgjalgbeoj,1,0,0,1,0,0,0,9,5,1,1,0
adglmlgliekdboghenhdpcomhcmmndbd,0,0,0,0,0,0,0,0,0,1,0,0
bjaacfmbgkadjiiibiibcjhhipihofen,0,0,0,0,0,0,0,0,3,1,0,0
cjhbheckcgogpgibfjfhkofioikhpgio,0,0,0,0,0,0,0,1,1,0,0,0
bepnbjanekhidnggbihpgmajjfgicobk,0,0,0,0,0,0,0,0,0,0,0,0
aimdogcdagfchdddcdkljpmdmiciflkh,0,0,0,0,0,0,0,4,0,0,0,0
ahhilgacfbpkjpfjkjofdgccclclidah,0,0,0,0,0,0,0,3,3,1,0,0
ccoobkngmnklnijjpeheodjiadnkomed,0,0,0,0,0,0,0,77,33,1,1,0
aibodamckfokebpffphgfekonjnmmbam,0,0,0,0,0,0,0,4,3,0,0,0
bafonlnpjoogacbjiffcbadecdgamjgb,0,0,0,0,0,0,0,4,3,0,0,0
ceeepgeglfmkifhkngpafjmollnflcdh,0,0,0,0,0,0,0,0,0,1,0,0
apfpecihdjjdaocoeacnmdlcfnahpilc,0,0,0,0,0,0,0,25,3,0,0,0
bofbpdmkbmlancfihdncikcigpokmdda,0,0,0,0,0,0,0,27,33,1,0,0
aojnohijgfljoaikgpmehcbhfpbdibnh,0,0,0,0,0,0,0,0,1,0,0,0
bgfkjfcafnnnffphjenlgoklahjiionh,0,0,0,0,0,0,0,0,0,0,0,0
bgccoikjckkanlbklnhcingkonnimfhb,0,0,0,0,0,0,0,12,2,0,0,0
acjiedbilhbchmjblapmekfajpplpgdo,0,0,0,0,0,0,0,4,0,1,0,0
aiekcaiobdodkbngemfejhngfecohoad,0,0,0,0,0,0,0,0,0,0,0,0
apkgobbdndlnnelabdjdapopocfcgbhf,0,0,0,3,0,0,0,0,0,0,0,0
acgekcnaajgndgpkkkmojgdidgipaplh,0,0,0,0,0,0,0,25,0,1,0,0
ajeapkolnhblcfaapiifkeknkknpliia,0,0,0,1,0,0,0,0,0,3,0,0
bllkckadeocbkadhljefebcfmohhgdgj,0,0,0,0,0,0,0,0,0,1,0,0
bpbggfajfgagjlhammbcnkmjjlnailbd,0,0,0,0,0,0,0,0,0,0,0,0
aiicmmpkicnndkhlnnloilpgncbpkbjj,0,0,0,0,0,0,0,19,0,1,0,0
bjnkkhimoaclnddigpphpgkfgeggokam,1,0,0,1,0,0,0,29,15,1,0,0
cgoonnpcpkcloenjojabjedbkfdiolcn,0,0,0,0,0,0,0,0,1,0,0,0
adcbgphpofiknockeadfpohfffchliii,0,0,0,0,0,0,0,0,0,1,0,0
coemecpgonjiefjkmpgeembhgholkhco,0,0,0,0,0,0,0,6,0,0,0,0
bfkpadaongdjiflgdgpejbaahdbfdnko,0,0,0,0,0,0,0,6,2,0,0,0
cnglfgamkgjjhahhdhepcnhdgknkfboo,0,0,0,0,0,0,0,0,0,0,0,0
bgbginncjmpghglgknmlcdpljmjcknbl,0,0,0,0,0,0,0,6,1,0,0,0
cnblenmcbbcpjfmdijjeedjhcgbdbjnp,0,0,0,0,0,0,0,14,3,0,0,0
aliimkkkogdkcafciegcmnpdigoghkbk,0,0,0,0,0,0,0,10,4,1,0,0
acgimceffoceigocablmjdpebeodphgc,0,0,0,0,0,0,0,0,7,1,0,0
bhhmkdjkblginaaffledkaemmajakpfk,0,0,0,0,0,0,0,16,7,1,0,0
cafgibgoaehhjoomjcndeogbcmfdbogd,0,0,0,0,0,0,0,7,0,1,0,0
bjjgbdlbgjeoankjijbmheneoekbghcg,0,0,0,1,0,0,0,0,41,1,0,0
ankphgpmnicdkehhmnklhlodkfkecjbh,0,0,0,0,0,0,0,1,8,1,0,0
ajcbjgjjnepabhmllfdjnlamhmpjlnel,0,0,0,0,0,0,0,0,1,1,0,0
alaeaihbeegbmcaohaifbehjekhhecni,1,0,0,0,0,0,0,0,1,0,0,0
ciancedihjhidebpihednohbjmdoekpk,0,0,0,0,0,0,1,0,0,0,0,0
cjaclpcmebclfeifookbmpaemblbkchn,0,0,0,0,0,0,0,6,3,0,0,0
ckfejipjdkdjicjgecdgdacnomelbhii,0,0,0,0,0,0,0,3,2,0,0,0
aofebfljannpdpbeapgnolkihjiepdeo,0,0,0,0,0,0,0,0,2,0,0,0
camokcdafphddjjhkjmfjffpjejkaaim,1,0,0,2,0,0,0,13,2,0,0,0
behimaeapdpdfokmhjahapambjidjdap,30,0,0,26,0,0,0,77,112,0,0,0
aobpcgfakbnbhekdghbomlfbfdbiemla,0,0,0,0,0,0,0,0,0,1,0,0
bmbnngnjoagodaidjcmoiadioinjhhfb,1,0,0,1,0,0,0,0,0,1,0,0
