id,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
bnceafpojmnimbnhamaeedgomdcgnbjk,Accessibility,0,0,0,0,0,0,0,0,3,5,0,0,8
leicmnaljidmbanjbfkjhfjimdcgoeel,Accessibility,0,0,0,0,0,0,0,6,2,0,0,0,6
hbnfpklocphfmpljdmmjmmmfaepiaacg,Accessibility,1,0,0,1,0,0,0,8,7,8,0,0,10
ellmmiehdcccalmmdfpoeeablbpnihac,Accessibility,0,0,0,0,0,0,0,3,3,4,0,0,5
njgkbgfkgecignmhfnehgcnkndppbpph,Accessibility,0,0,0,0,0,0,0,2,2,1,0,0,4
baacdjbfffggbkmodigllhihmfnaiehf,Accessibility,0,0,0,0,0,0,0,2,3,2,0,0,4
dgfnpldhjmlehblnmlflcmbekmincjfh,Accessibility,5,1,0,6,2,1,0,8,7,6,6,0,9
hipojknikpmpknnpbgpondgpeepppbjk,Accessibility,0,0,0,0,0,0,0,4,4,3,0,0,7
mjdmjlhioneibalagldhfojpfdemfkol,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,2
oeccdogiekfcglkneepeaodoendiikic,Accessibility,0,0,0,2,1,0,1,10,13,9,1,0,14
lppkoakaoipaonmeedlcgnlolngopbgo,Accessibility,0,0,0,2,0,0,1,4,4,3,0,0,4
jbbckhpcmhnbccpimnielfjciikneacn,Accessibility,3,0,0,4,0,0,0,6,6,5,0,0,6
akcafbaobcipanhmmfmkpneejopclhfg,Accessibility,1,0,0,2,0,0,0,6,2,5,0,0,8
jafdabdlodjgkejpoccbigkciidafddl,Accessibility,2,0,0,2,0,0,0,7,8,6,1,0,10
nljmbnpnemoenbogmdnakjjapcmpioep,Accessibility,0,0,0,0,0,0,0,3,4,2,0,0,7
enaaiccdidfakbeiikclbfhgfcdfmimh,Accessibility,1,0,0,1,0,0,0,5,2,2,4,0,6
bihflffbgkhhfmcknamdaendhagkbahn,Accessibility,5,1,0,5,0,0,0,10,11,7,1,0,12
bafkmmmolfkcpbacoechfmhpfhnbgkmd,Accessibility,2,0,0,1,0,0,0,4,4,2,1,0,6
ccppdejlimaholikmlgedjnglaamgmca,Accessibility,2,0,0,1,0,0,0,4,5,4,0,0,7
ilhjhegbgdghfkdgeahkpikkjgaaoklh,Accessibility,1,0,0,1,1,0,0,6,6,5,1,0,7
mppmegdhndjcellnpfoccakohbhkeglg,Accessibility,0,0,0,0,0,0,0,4,2,4,0,0,7
coodfgmnlnjliaeijfanmjgmbgpdalfe,Accessibility,4,1,0,5,2,1,0,10,9,6,7,0,12
jkdoomkdcioheppgnmpakinhlgjflnem,Accessibility,1,0,0,1,0,0,0,4,0,4,0,0,5
caclkomlalccbpcdllchkeecicepbmbm,Accessibility,1,0,0,2,1,0,0,6,7,2,0,0,10
ekepppjbkcepnbcbjjfkadghiofmobln,Accessibility,0,0,0,0,0,0,0,2,3,3,0,0,5
hggofpanoenpmgaieeadjapijnoclkdl,Accessibility,0,0,0,0,0,0,0,4,3,0,0,0,5
gaedlpnklpnpgjonldlmmmnmhhadicnk,Accessibility,0,0,0,0,0,0,0,3,5,2,0,0,8
jplmbheenbhcoihdheoeipfdnamlodbm,Accessibility,1,0,0,0,0,0,0,8,9,2,0,0,12
jgejpcldaimfhfgbjekolgcmkamkanio,Accessibility,2,0,0,1,0,0,0,8,8,7,0,0,13
blmikombemiddkippgjijjgpdofliogo,Accessibility,1,0,0,2,0,0,0,4,5,3,1,0,5
fehclkmblhgfomnjklggmoejabgjcfcl,Accessibility,2,0,0,3,1,0,0,9,7,7,0,0,12
edmkmnjkagnlalaamoaoihblemaeedib,Accessibility,1,0,0,1,0,0,0,6,5,4,0,0,9
opimkfaiaekjknodenklcjdeaeedjdkc,Accessibility,0,0,0,2,0,0,1,4,4,4,0,0,5
hogimgcnlijiichncbccieippmdgoeig,Accessibility,1,0,0,1,0,0,0,1,1,1,0,0,5
gpoalbapkpngbcdpifnilmiapnlaciai,Accessibility,1,0,0,1,0,0,0,5,5,5,1,0,7
phkenomnahhgjnmpignadbeandfanbil,Accessibility,1,0,0,0,0,0,0,4,4,7,0,0,10
egbebnjiaigjekepcalpcjeckiepebgl,Accessibility,0,0,0,0,0,0,0,5,4,3,1,0,7
ldmflkefiglekhmgmceccddablgfhkhn,Accessibility,1,0,0,2,1,0,0,5,4,6,0,1,12
bhflldkbcnidkhofjejdmidnpklichjk,Accessibility,0,0,0,0,0,0,0,1,2,1,0,0,4
dknjhljhbjjepblhdogbajnimkiflhcd,Accessibility,1,0,0,0,0,0,0,3,7,4,0,0,10
lcbammllahiomehmmgknajealgajchbp,Accessibility,1,0,0,1,0,0,0,3,2,3,0,0,6
kmdojjlcckelhlndimpopmonleajgpae,Accessibility,1,0,0,1,0,0,0,6,7,9,0,0,14
hmogpdfolooffjckmeaninmkkcbkednf,Accessibility,0,0,0,0,0,0,0,5,4,4,1,0,11
mkndieaclikppobgjihfijainfmjcbhd,Accessibility,0,0,0,0,0,0,0,1,1,3,0,0,3
jnnojalnifmaekkfknejbppafnaiepjl,Accessibility,0,0,0,0,0,0,0,3,4,5,0,0,10
gmapcmjlcmibnddkiddcgdkljaboobbo,Accessibility,1,0,0,1,0,0,0,5,8,3,0,0,9
djhphipieecndgbplonaadoiefnjfnia,Accessibility,0,0,0,0,0,0,0,1,2,0,0,0,2
cbmolikjecklnipjeilkihhikolnmmdo,Accessibility,1,0,0,1,0,0,0,9,8,3,0,0,13
fgihoanlhiehncoaimcmolhlbmeikoak,Accessibility,1,0,0,1,0,0,0,8,5,2,1,0,11
elmgfbmdfmjjhpmcepbkohgeaemafpnh,Accessibility,3,0,2,4,0,0,0,6,2,3,0,0,7
eaiabkjipjhalikppkkjoeefjnphgbpe,Accessibility,0,0,0,1,0,0,0,4,5,5,0,0,9
ibeckhoigojdjkahpmemablmfgejemmk,Accessibility,0,0,0,1,0,0,0,0,1,2,0,0,3
bnefkbkgplakejnfhhhdfmacfbhbmnbd,Accessibility,1,0,0,1,0,0,0,4,6,6,0,0,9
kcmipkbnmndcdhmlhpdampbfkdbkdjib,Accessibility,0,0,0,0,0,0,0,5,6,6,0,0,9
lmilkgfpcjmmcbnenlpjknhleffaeoci,Accessibility,0,0,0,3,0,0,2,8,5,6,2,0,11
gegfnocdoodghpebnlgbaohceknochda,Accessibility,0,0,0,0,0,0,1,6,6,7,1,0,13
hjfkenebldkfgibelglepinlabpjfbll,Accessibility,0,0,0,0,0,0,0,5,4,3,0,0,10
mgmcokpgponhgkbnhfbdiddookjadenf,Accessibility,0,0,0,0,0,0,0,2,2,1,0,0,3
hjpabbdnmkdifemnikbiecgkgnjipofj,Accessibility,0,0,0,0,0,0,0,4,4,3,0,0,9
enjfepjlbnehlncagcbplbpemofodgdc,Accessibility,0,0,0,0,0,0,1,7,6,4,0,0,10
