ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
ffednpkacgekbgkcffkpoinbikhijadl,0,0,0,1,1,1,1,1,1,1,1,1
ohfbnjhbpjlkbkagpkdoocefjocageoa,1,0,1,0,0,0,0,0,0,-1,0,0
mnlohknjofogcljbcknkakphddjpijak,0,0,0,0,0,1,1,0,0,0,0,1
glionobmpbnfolpidmfchmkfahfkameo,-1,0,0,0,1,0,0,0,0,0,1,1
kffmedimlahkcfmanllccpodaimhhham,0,0,0,1,0,1,1,0,0,1,-1,1
ggojihjaaaalhgaocfbgklcidfmlboko,0,0,0,1,0,1,1,0,0,1,0,1
flejfacjooompmliegamfbpjjdlhokhj,0,0,1,0,1,1,1,0,0,0,1,1
gehfhcppdhkghhcbgedldpphjhfdljdb,0,0,0,0,0,0,1,0,1,0,1,1
pffnmdadbkfkakjcelihcgkbinajpoel,0,0,0,1,1,0,0,0,0,-1,1,1
dnmhjajomdcnclfdjhfalbnolpfidaom,0,0,0,1,0,1,1,0,0,0,1,1
ahphokgmcecbjeipkfkamcdmemghkaph,0,0,0,1,0,1,1,1,1,0,0,1
kilkocdmfgcheopoghbpaaocbmmdohil,0,0,1,1,0,1,1,0,0,0,0,1
laciddhhmjgkkmlbcgflngnimonaidfc,0,0,1,1,0,1,1,0,0,1,0,1
dllplfhjknghhdneiblmkolbjappecbe,0,0,0,1,1,0,0,0,0,0,1,1
nlacgphiebglipgnadgcegiefbfcpnjk,0,0,0,0,0,0,0,0,0,-1,1,1
ponfpcnoihfmfllpaingbgckeeldkhle,0,0,0,1,0,1,1,0,0,0,0,1
dkfhfaphfkopdgpbfkebjfcblcafcmpi,0,0,0,1,1,1,1,0,0,0,0,1
nijeoebbcgjnekbideohdhbohobddkjf,0,0,0,1,0,1,1,0,0,0,0,1
cjkcilgamfnfjjihedicolcnfljkmkjl,0,0,0,0,0,0,0,0,0,0,1,1
cfdgblchocpmmapjnigmabddneneafnh,-1,0,0,1,1,0,0,0,0,0,1,1
bhghoamapcdpbohphigoooaddinpkbai,-1,0,0,0,0,1,1,0,0,0,-1,1
ldpochfccmkkmhdbclfhpagapcfdljkj,0,0,0,1,0,1,1,0,0,0,-1,1
majdfhpaihoncoakbjgbdhglocklcgno,0,0,0,1,0,1,1,0,0,1,-1,1
ckjogkiieodbdmkeabpnhdaagilainco,0,0,0,1,0,1,1,0,0,1,0,1
cnkdjjdmfiffagllbiiilooaoofcoeff,0,0,0,1,0,1,1,0,0,0,0,1
amlielhlgedcjnbkilihjhoheammcbgm,0,0,0,0,0,1,-1,0,0,-1,1,0
meffljleomgifbbcffejnmhjagncfpbd,0,0,0,1,0,1,0,0,0,0,1,1
gdojjgflncpbcfmenbkndfhoamlhajmf,0,0,0,1,0,1,1,0,0,0,0,1
mcmdolplhpeopapnlpbjceoofpgmkahc,0,0,0,1,0,1,1,1,0,0,0,1
ecgmlkepbnhcipjbjdoibkobilceeofa,0,0,0,0,1,0,1,0,0,1,1,1
mdnleldcmiljblolnjhpnblkcekpdkpa,-1,-1,0,-1,1,0,1,0,0,0,1,1
agdbgmnajalcgckpbfghgkoglkecpfhm,0,0,0,0,0,0,1,0,1,0,1,1
kmeijfochmidimcngicjabokhkeifmmj,0,0,1,-1,1,-1,0,0,0,-1,0,0
eanjghlmjhfkhbgmgoagdofgmbnmpjle,0,0,0,1,1,1,1,0,0,0,1,1
pnmaklegiibbioifkmfkgpfnmdehdfan,0,0,0,1,0,1,1,0,1,1,1,1
obdgheeibdpfijadkmnlpiofnafocmfk,0,0,0,1,1,1,1,0,0,1,0,1
alncdjedloppbablonallfbkeiknmkdi,0,0,0,0,0,0,0,0,0,-1,1,1
ljhnljhabgjcihjoihakgdiicdjncpkd,0,0,0,1,0,1,1,0,0,0,0,1
jannchdahcpeomkijhnajendgeliepmp,-1,0,0,0,0,1,1,0,0,0,0,1
jaoafpkngncfpfggjefnekilbkcpjdgp,0,0,0,1,0,1,1,1,1,1,0,1
jmcfgfebjmfodjnmgicmkpkbpbfelhki,0,0,0,0,0,0,0,0,1,-1,1,1
nffdigbhnachjecalnikkfemjbnbbgab,0,0,1,1,1,1,1,0,0,1,0,1
gcihackglhkfinndffhemefinhlmagfe,0,0,0,1,1,1,1,0,0,0,0,1
eldlkpeoddgbmpjlnpfblfpgodnojfjl,0,0,0,0,0,0,1,1,0,1,1,1
fnplkbhndemgbopkkpmpnfklkhphpneg,0,0,0,1,0,1,1,0,0,0,-1,1
ifjafammaookpiajfbedmacfldaiamgg,0,0,0,1,1,1,1,0,0,0,0,1
admkplalkphcdkbkapdmkmobilbhmplp,0,0,0,1,1,0,0,1,0,0,1,1
ajnmfincdldfcodgpglmolicgglkdeof,0,0,0,0,1,1,1,0,0,0,0,1
nomeamlnnhgiickcddocjalmlhdfknpo,0,0,0,1,1,1,1,0,0,0,0,1
imfdgigjipejmkocpklhdkokdplilceo,0,0,0,1,1,1,1,1,1,1,0,1
bfbmjmiodbnnpllbbbfblcplfjjepjdn,0,0,0,1,0,0,0,0,0,-1,0,1
dlpiaeofjhnjeckpjcbhmnifdejoikpa,0,0,0,1,0,1,1,0,0,0,0,1
booiapffgjfohmjalmkkndnpkkkfoain,-1,0,0,-1,0,0,1,0,0,0,1,1
cfpbjggdmogjceodagocpbmikhdoaokn,0,0,0,1,0,1,1,1,1,1,0,1
fdjglnlhapkoahdmanogpccpmmpnakje,0,0,0,0,1,0,0,0,0,0,1,0
giidlnpcdhcldhfccdhkaicefhpokghc,0,0,0,1,1,1,1,0,0,1,-1,1
kbmipnjdeifmobkhgogdnomkihhgojep,0,0,0,1,1,0,0,0,0,-1,1,1
lljedihjnnjjefafchaljkhbpfhfkdic,0,0,0,1,0,1,1,1,1,1,0,1
akbdooghbmenilbdgkpapgliaplhgjeb,0,0,0,0,0,1,1,0,0,0,0,1
fpljkobkodmnmldgodfefnmjgjlljbjn,0,0,0,-1,0,0,0,0,1,-1,0,1
fdljnekcaikfghegdfkbhnhjfbkmhcec,0,0,0,1,1,0,0,0,0,0,1,1
jhikancdgcieieaapcjmbpjflikjgkpn,0,0,0,1,0,1,0,0,0,-1,1,0
dchhcpcppkgonkhpgajbgempdofniibj,-1,0,0,0,0,1,1,0,0,0,0,1
