ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
apnigoloonhabnplobkhailjllggdnll,0,0,0,0,0,0,0,0,0,0,0,0
ajgehecfkfhindkhdcjmifbngkfdflla,0,0,0,0,0,0,0,0,0,0,0,0
cfhokaomhckmlophlpmjgkndlbajconn,0,0,0,0,0,0,0,0,0,0,0,0
bplnofkhjdphoihfkfcddikgmecfehdd,0,0,0,0,0,0,0,0,0,0,0,0
aogpohpdlalgbanndjocbimokbklkfbh,0,0,0,0,0,0,0,0,0,0,0,0
bdfjfnmakopmjejhmjhokfmbceppbnmk,0,0,0,0,0,0,0,0,0,0,0,0
bgfjknijhlkhpeofdlbognkbfckhpnnm,0,0,0,0,0,0,0,0,0,0,0,0
bggllnkbdlkiimnpkndnceeelpabcogg,0,0,0,0,0,0,0,0,0,0,0,0
alnegloalcekphmikdmcjeemnncocelm,0,0,0,0,0,0,0,0,0,0,0,0
caegcjlajimgnjonpdmjkfemnhjpjkli,0,0,0,0,0,0,0,0,0,0,0,0
bknchehbdcammbglphmfbobniefdjeha,0,0,0,0,0,0,0,0,0,0,0,0
aaceiejmomeaplpekmbmpfcdflgffcoa,0,0,0,0,0,0,0,0,0,0,0,0
aflgedhmmoajjlohmmfgmphpojgpadeb,0,0,0,0,0,0,0,0,0,0,0,0
cdppegnnogiaamknlcfpegealnpeogml,0,0,0,0,0,0,0,0,0,0,1,0
becmdbmdmkelocmfnmdbkhmbpjnknojl,0,0,0,0,0,0,0,0,0,0,0,0
bjfgihoefmkcaiipaddgpcljkjbaomfk,0,1,0,0,0,0,0,0,0,0,0,0
aacnmgkanldpddhhhicgdgbaoeedjdma,0,0,0,0,0,0,0,0,0,1,0,0
cabmmocdabbmcjleikofkbgjlogbodpm,0,0,0,0,0,0,0,0,0,0,0,0
aajmppobbjbkaljdefalgeeednlcdenc,0,0,0,0,0,0,0,0,0,0,0,0
bcpbgclbfajeikpeglnfdclepjddgglp,0,0,0,0,0,0,0,0,0,0,0,0
aedikcfpfonanffanecfolneiaoakmlc,0,0,0,0,0,0,0,0,0,0,0,0
aophdpeoagjlmffleblanojfojbolipk,0,0,0,0,0,0,0,0,0,0,0,0
cemhfjoonebpbnddchcopobdgdngnhdl,0,0,0,0,0,0,0,0,0,0,0,0
ccjlpblmgkncnnimcmbanbnhbggdpkie,0,0,0,0,0,0,0,0,0,0,0,0
cdlmglagkgkocefpfcameiamiamnfpam,0,0,0,0,0,0,0,0,0,0,0,0
befgnncfhonflepeamcfacmebdohegap,0,0,0,0,0,0,0,0,0,0,0,0
apkdlkpcghonmghkbkhhjpaemnmjahgi,0,0,0,0,0,0,0,0,0,0,0,0
bdmpbjpcmgpljpngkejmhfgbmpaohndp,0,0,0,5,0,0,0,0,0,0,0,0
adglmlgliekdboghenhdpcomhcmmndbd,0,0,0,0,0,0,0,0,0,0,0,0
acgkfoonbncfblkndjlpmhchicibdpna,0,0,0,0,0,0,0,0,0,0,0,0
baabbccjecolffbbbikjcmdnpfdnpimi,0,0,0,0,0,0,0,0,0,0,0,0
cbfljfjmdkibgcankdgcgaehpjhiohok,0,0,0,0,0,0,0,0,0,0,0,0
agmkmpjcbhjlcmeffkbggfmfmnbmofln,0,0,0,6,0,0,0,0,0,0,0,0
aiciobdkgncihgllchmjjafekailaclk,0,0,0,0,0,0,0,0,0,0,0,0
aebgckccbkgbeigkkdglihleeipanoan,0,0,0,0,0,0,0,0,0,0,0,0
bddhdhnlblfihpgogfinakagjkkcgnai,0,0,0,0,0,0,0,0,0,0,0,0
agdiceiogoocdijofdobcomkbajggooi,12,0,0,28,0,0,0,0,0,0,0,0
beghlmpncmdfdgjnodjfmdllbkkfdgia,0,0,0,0,0,0,0,0,0,0,0,0
ahhliekflgdfbgofmgamanngngnbaibh,0,0,0,9,2,0,0,0,0,0,0,0
abacndahndhfclcaodbdahioohfimfln,0,0,0,0,0,0,0,0,0,0,0,0
abbakcklnbaccfjgpenaaimnkdgdighf,46,0,4,12,0,0,0,0,0,0,0,0
bhachhlaofmplbfnefenmlnflolelkff,0,0,0,0,0,0,0,0,0,0,0,0
cedhnhpofflgcdpbagmkfffigeamokmn,0,0,0,0,0,0,0,0,0,0,0,0
blkbphpiiamicpmodccjepdnmgiffgpf,0,0,0,0,0,0,0,0,0,0,0,0
blddhcmingjekbdflnhfnddlbgohohha,0,0,0,0,0,0,0,0,0,0,0,0
aophkpmgejclihohfcmodkhcnilcedaf,0,0,0,0,0,0,0,0,0,0,0,0
aoclhcccfdkjddgpaaajldgljhllhgmd,0,0,0,0,0,0,0,0,0,0,0,0
ccbillglagbffammojaidpaailialkje,0,0,0,0,0,0,0,0,0,0,0,0
cehdjppppegalmaffcdffkkpmoflfhkc,0,1,0,1,0,0,0,0,0,0,0,0
blchhkbbijehipelagipdngfhiolahko,0,0,0,0,0,0,0,0,0,0,0,0
cejijldbedfmdehondfmoadlkhgjcmkd,0,0,0,0,0,0,0,0,0,0,0,0
bdeifmcaonlafkglbdpbbhkeecjnkipo,0,0,0,0,0,0,0,0,0,0,0,0
bfmplpelbjcjafehiajildfnlkkgcnej,0,0,0,0,0,0,0,0,0,0,0,0
aheohlkniamnhlljffkofjkfpicnakin,0,0,0,0,0,0,0,0,0,0,0,0
bedffgjloddeglbafbmjannpnhfhpgll,0,0,0,0,0,0,0,0,0,0,0,0
cfdfbabgnhhopfdjaegmoigbonbofnne,0,0,0,0,0,0,0,0,0,0,0,0
cefkgjbbpagcilodnhboolbppdjlplip,0,0,0,0,0,0,0,0,0,0,0,0
bkahghbdcenghglbhlflnfkeabfjkdmh,0,0,0,0,0,0,0,0,0,0,0,0
cccemffboepjhmmfgfoaebcocfejcjgb,0,0,0,0,0,0,0,0,0,0,0,0
abokklkondgpdlcajcjiobegghjfccih,8,0,0,8,0,0,0,0,0,0,0,0
bgjmoeebomokfcfmopbappgncbhppmec,0,0,0,2,0,0,0,0,0,0,0,0
amlkddagjlidoklgogkcokgcdkoplbfm,0,0,0,0,0,0,0,0,0,0,0,0
blkbiemnncjjjhhgomoeakfcnjficocl,0,0,0,0,0,0,0,0,0,0,0,0
aifcaiicfjlhlipbbkdlhaamegkimlof,0,0,0,0,0,0,0,0,0,0,0,0
boefnnjghgbcgbelboopibbjcpofeioe,0,0,0,0,0,0,0,0,0,0,0,0
addfplpnjjbiockjmfegacimgkcmfefn,0,0,0,0,0,0,0,0,0,0,0,0
cefehfbnpbpenjgeloodlhfmgdcpfdcb,0,0,0,0,0,0,0,0,0,0,0,0
abmamaonlmnbckndilknihlpipfffkin,0,0,0,0,0,0,0,0,0,0,0,0
bihdpfohhljmhnjklkpfldhiceagnaeh,10,0,0,10,0,0,0,0,0,0,0,0
aplpinjdedbhehbipebfibgoiieojjml,0,0,0,0,0,0,0,0,0,0,0,0
cficffnibofojnlliahgjfogcpfpglcm,0,0,0,0,0,0,0,0,0,0,0,0
cabfodbfjmgloaallchcnnkgcfpnobem,0,0,0,0,0,0,0,0,0,0,0,0
akbdooghbmenilbdgkpapgliaplhgjeb,0,0,0,0,0,0,0,0,0,0,0,0
bpffefpenhflenffmncchaepkgebkpne,0,0,0,0,0,0,0,0,0,0,0,0
bekajhbgpmifhhdmidjmcgiglahpmlgk,0,0,0,0,0,0,0,0,0,0,0,0
cfmapebpmjnafgpkompginjmoekelckb,0,0,0,0,0,0,0,0,0,0,0,0
afahbimpallifmmckddfkelmoblfijkd,0,0,0,0,0,0,0,0,0,0,0,0
bngmeppjlfgakgbdelcinhkbjkljpfjm,0,0,0,0,0,0,0,0,0,0,0,0
apcfdffemoinopelidncddjbhkiblecc,0,0,0,4,0,0,0,0,0,0,0,0
bddlppcjilgkfjkhfoklopgeihhmkgkb,0,0,0,0,0,0,0,0,0,0,0,0
bpdiehbieffobgoanobdhfefhcllfaef,0,0,0,0,0,0,0,0,0,0,0,0
bmkaoogjkfcjeamcedpeomegdnimbkhi,17,0,0,8,0,0,0,0,0,0,0,0
ccbdfboekkjhdaodbmdjpgkhfpofgfbk,0,0,0,0,0,0,0,0,0,0,0,0
bfiiiekjlodijaihgmikkphbojlhkkcg,0,0,0,0,0,0,0,0,0,0,0,0
adnclnmfdlbkemdddekdhmofeippakhf,0,0,0,0,0,0,0,0,0,0,0,0
apggcjbongdcfhjjhhgaodbfoldbibnd,0,0,0,0,0,0,0,0,0,0,0,0
binlfnhjjfbfkoggnppeobfcobjhbdib,4,0,0,4,0,0,0,0,0,0,0,0
apenapfkioiehfhgheabegngnfhnfbjh,0,0,0,0,0,0,0,0,0,0,0,0
bjblobcihloahnigngcmplnjjkmjlgkf,0,0,0,0,0,0,0,0,0,0,0,0
ajmflkhlappdjechoapfninnmejldlap,0,0,0,0,0,0,0,0,0,0,0,0
ammoloihpcbognfddfjcljgembpibcmb,0,0,0,0,0,0,0,0,0,0,0,0
bpepmpmpcadijihffpfiohfdffpmggeg,0,0,0,0,0,0,0,0,0,0,0,0
ahpggnddickeebhookfhfagcigeknkmj,0,0,0,0,0,0,0,0,0,0,0,0
bjpgfccobjfpicoddafljhplofcmgfjh,4,0,0,0,0,0,0,0,0,0,0,0
ahikmoihohidpfjdmmdodfhnmjipmpci,0,0,0,0,0,0,0,0,0,0,0,0
